1 16613U          86053.07627914 -.00000008  00000+0  00000+0 0    05
1 16613U 86019A   86237.96751452  .00000075  00000-0  39365-4 0  2205
2 16613  98.7207 311.4657 0001828 120.2628 239.8769 14.20030613 26517
1 16613U 86019A   86238.88350299  .00000075  00000-0  39365-4 0  2212
2 16613  98.7207 312.3683 0001828 117.6268 242.5094 14.20030766 26641
1 16613U 86019A   86239.86995283  .00000075  00000-0  39365-4 0  2220
2 16613  98.7207 313.3402 0001828 114.7880 245.3487 14.20030931 26785
1 16613U 86019A   86240.85640254  .00000075  00000-0  39365-4 0  2237
2 16613  98.7199 314.3128 0001867 116.2233 243.9087 14.20030171 26925
1 16613U 86019A   86241.84285375  .00000074  00000-0  39365-4 0  2246
2 16613  98.7199 315.2846 0001867 113.3844 246.7529 14.20030336 27069
1 16613U 86019A   86242.82930389  .00000075  00000-0  39365-4 0  2259
2 16613  98.7189 316.2587 0002003 124.6337 235.5054 14.20023206 27209
1 16613U 86019A   86243.88621960  .00000075  00000-0  39365-4 0  2269
2 16613  98.7228 317.2971 0001867 104.3288 255.8310 14.20032021 27359
1 16613U 86019A   86244.87266430  .00000074  00000-0  39365-4 0  2276
2 16613  98.7223 318.2706 0001873 112.2142 247.9204 14.20032305 27499
1 16613U 86019A   86246.00003483  .00000075  00000-0  39365-4 0  2282
2 16613  98.7208 319.3818 0001957 105.6421 254.4988 14.20031222 27654
1 16613U 86019A   86246.84556264  .00000075  00000-0  39365-4 0  2295
2 16613  98.7211 320.2151 0001936 108.3452 251.7882 14.20030395 27776
1 16613U 86019A   86247.83201372  .00000075  00000-0  39365-4 0  2315
2 16613  98.7212 321.1880 0001903 107.9181 252.2243 14.20030662 27914
1 16613U 86019A   86248.04339506  .00000075  00000-0  39365-4 0  2332
2 16613  98.7191 321.3953 0002182 107.1680 252.9714 14.20035110 27945
1 16613U 86019A   86248.95938182  .00001233  00000-0  59720-3 0  2341
2 16613  98.7227 322.2992 0002104 107.3978 252.7377 14.20034046 28079
1 16613U 86019A   86249.87536910  .00001252  00000-0  59719-3 0  2356
2 16613  98.7198 323.2023 0001921 102.4015 257.7185 14.20028362 28207
1 16613U 86019A   86250.86182349  .00001252  00000-0  59719-3 0  2361
2 16613  98.7195 324.1729 0001858 102.4302 257.7230 14.20034604 28482
1 16613U 86019A   86251.84826692  .00006476  00000-0  30521-2 0  2379
2 16613  98.7187 325.1464 0002106  87.2179 272.8880 14.20037356 28621
1 16613U 86019A   86252.97564430  .00006477  00000-0  30521-2 0  2385
2 16613  98.7182 326.2576 0001922 108.1518 252.0068 14.20039842 28784
1 16613U 86019A   86253.89161991  .00006477  00000-0  30521-2 0  2393
2 16613  98.7179 327.1589 0002142  96.6031 263.4820 14.20034867 28919
1 16613U 86019A   86254.87807362  .00000010  00000-0  89999-5 0  2406
2 16613  98.7180 328.1309 0001963  96.4633 263.6463 14.20031294 29050
1 16613U 86019A   86255.86452904  .00000010  00000-0  89999-5 0  2415
2 16613  98.7184 329.1024 0001978  98.7715 261.3673 14.20029913 29199
1 16613U 86019A   86256.85097974  .00000010  00000-0  89999-5 0  2428
2 16613  98.7186 330.0744 0001916  92.9526 267.1970 14.20031782 29336
1 16613U 86019A   86257.83742690  .00000010  00000-0  89999-5 0  2441
2 16613  98.7188 331.0463 0001986  94.0023 266.1335 14.20028854 29474
1 16613U 86019A   86258.89433971  .00001396  00000-0  66477-3 0  2450
2 16613  98.7161 332.0838 0002305 101.2828 258.8735 14.20029956 29625
1 16613U 86019A   86259.88078674  .00000469  00000-0  22956-3 0  2460
2 16613  98.7197 333.0600 0001827  89.0497 271.0989 14.20032734 29766
1 16613U 86019A   86261.28999615  .00001172  00000-0  55973-3 0  2483
2 16613  98.7212 334.4494 0001912  84.9663 275.1651 14.20033589 29966
1 16613U 86019A   86261.99460290  .00001172  00000-0  55973-3 0  2494
2 16613  98.7190 335.1427 0001926  92.7555 267.3749 14.20032988 30063
1 16613U 86019A   86262.91059170  .00000282  00000-0  14161-3 0  2505
2 16613  98.7188 336.0464 0001901  89.6056 270.5294 14.20032305 30193
1 16613U 86019A   86263.82658053  .00000283  00000-0  14161-3 0  2513
2 16613  98.7187 336.9487 0001819  89.0342 271.1081 14.20033207 30324
1 16613U 86019A   86264.81302771  .00000283  00000-0  14161-3 0  2527
2 16613  98.7183 337.9201 0001846  87.5624 272.5744 14.20033303 30464
1 16613U 86019A   86265.86993690  .00000282  00000-0  14161-3 0  2539
